dummy,dummy,dummy,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IND,NEN,STE1AD,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,NEN,STE1AD,221.6441,186.428,144.95495,126.80085,169.4218,236.60185,192.86495,207.2895,289.633,308.64965,304.54835,267.7053
USA,NEN,STE1AD,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,NEN,STE1AG,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,NEN,STE1AG,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,NEN,STE1AG,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,NEN,STE1AG,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,NEN,STE1AG,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
USA,NEN,STE1AG,225.3325,206.8974,153.9961,181.478,213.4584,150.0723,133.5843,152.2195,152.498,138.9109,115.6523,181.8496
RWO,NEN,STE1AH,143.082587108128,154.755861618121,151.729234534012,151.299204166889,148.792645315494,129.650061420854,129.521742259023,144.446272252236,147.166668794245,139.666898188671,140.425389806327,154.578512183975
CHA,NEN,STE1AH,242.7097,266.285,205.9489,176.5172,135.9282,105.3342,129.1528,169.0566,190.7131,145.1498,113.2386,297.0234
EGY,NEN,STE1AH,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
IND,NEN,STE1AH,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,NEN,STE1AH,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,NEN,STE1AH,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,NEN,STE1AL,143.082587108128,154.755861618121,151.729234534012,151.299204166889,148.792645315494,129.650061420854,129.521742259023,144.446272252236,147.166668794245,139.666898188671,140.425389806327,154.578512183975
CHA,NEN,STE1AL,242.7097,266.285,205.9489,176.5172,135.9282,105.3342,129.1528,169.0566,190.7131,145.1498,113.2386,297.0234
EGY,NEN,STE1AL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
IND,NEN,STE1AL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,NEN,STE1AL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,NEN,STE1AL,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,NEN,STE1AR,518.001934928394,582.704216241448,606.319132989555,578.988324069991,565.891351528257,505.717275158383,482.851119907826,510.05641985003,532.64512852114,530.117906167811,500.908704328803,535.62465370354
CHA,NEN,STE1AR,609.4429,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453
EGY,NEN,STE1AR,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
IND,NEN,STE1AR,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108
MAR,NEN,STE1AR,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
USA,NEN,STE1AR,546.2063,735.2431,781.2868,735.7257,674.3615,367.9346,271.3624,361.8595,457.4109,427.2688,333.3318,471.7953
RWO,NEN,STE2GDO,942.284979669208,1076.85002513174,1115.13254958041,1116.94219124708,1087.12656317575,954.59190178816,906.030420169795,941.214690007811,1017.7063319477,1014.57884881441,942.132246811579,1006.86735423254
CHA,NEN,STE2GDO,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
EGY,NEN,STE2GDO,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
IND,NEN,STE2GDO,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,NEN,STE2GDO,221.6441,186.428,144.95495,126.80085,169.4218,236.60185,192.86495,207.2895,289.633,308.64965,304.54835,267.7053
USA,NEN,STE2GDO,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,NEN,STE2LGN,143.082587108128,154.755861618121,151.729234534012,151.299204166889,148.792645315494,129.650061420854,129.521742259023,144.446272252236,147.166668794245,139.666898188671,140.425389806327,154.578512183975
CHA,NEN,STE2LGN,242.7097,266.285,205.9489,176.5172,135.9282,105.3342,129.1528,169.0566,190.7131,145.1498,113.2386,297.0234
EGY,NEN,STE2LGN,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
IND,NEN,STE2LGN,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,NEN,STE2LGN,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,NEN,STE2LGN,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,NEN,STE2NGS,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,NEN,STE2NGS,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,NEN,STE2NGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,NEN,STE2NGS,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,NEN,STE2NGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
USA,NEN,STE2NGS,225.3325,206.8974,153.9961,181.478,213.4584,150.0723,133.5843,152.2195,152.498,138.9109,115.6523,181.8496
RWO,NEN,STE2OGS,443.528436455896,477.138687443707,508.049765936095,518.847450862234,440.680277568084,413.214071640172,373.080672237512,365.029053402842,385.589328101771,398.167362096171,368.63122644276,392.712350079341
CHA,NEN,STE2OGS,564.2695,559.1766,537.412,583.5339,607.3952,624.4529,557.2028,540.1549,521.0345,490.0201,462.4964,467.953
EGY,NEN,STE2OGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
IND,NEN,STE2OGS,76.6347,164.8936,168.452,165.5274,174.0273,188.4014,126.5086,97.5348,114.2768,132.8497,80.7011,57.4913
MAR,NEN,STE2OGS,88.4975,86.1926,84.566525,87.662325,102.730575,91.660125,98.653075,97.85245,116.718525,132.95735,127.457675,125.200675
USA,NEN,STE2OGS,225.3325,206.8974,153.9961,181.478,213.4584,150.0723,133.5843,152.2195,152.498,138.9109,115.6523,181.8496
RWO,NEN,STE2OLQ,942.284979669208,1076.85002513174,1115.13254958041,1116.94219124708,1087.12656317575,954.59190178816,906.030420169795,941.214690007811,1017.7063319477,1014.57884881441,942.132246811579,1006.86735423254
CHA,NEN,STE2OLQ,1308.8405,1397.7083,1478.5247,1398.1989,1168.205,1052.3824,907.5308,982.6293,1140.3318,1034.0869,828.5378,1036.841
EGY,NEN,STE2OLQ,424.2303,235.6727,218.043,200.9917,293.726,272.6539,198.7291,241.5021,491.2787,555.5081,528.829,501.0425
IND,NEN,STE2OLQ,1061.856,1052.4497,1052.8984,1026.053,1069.21,867.5111,836.3308,894.394,1086.2872,1034.6639,1017.4624,1160.2997
MAR,NEN,STE2OLQ,221.6441,186.428,144.95495,126.80085,169.4218,236.60185,192.86495,207.2895,289.633,308.64965,304.54835,267.7053
USA,NEN,STE2OLQ,1000.1919,1245.3797,1260.316,1226.1995,1177.9179,832.2622,701.5208,789.092,923.7474,871.1608,719.0661,882.7859
RWO,NEN,STE2OSL,143.082587108128,154.755861618121,151.729234534012,151.299204166889,148.792645315494,129.650061420854,129.521742259023,144.446272252236,147.166668794245,139.666898188671,140.425389806327,154.578512183975
CHA,NEN,STE2OSL,242.7097,266.285,205.9489,176.5172,135.9282,105.3342,129.1528,169.0566,190.7131,145.1498,113.2386,297.0234
EGY,NEN,STE2OSL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
IND,NEN,STE2OSL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
MAR,NEN,STE2OSL,143.392280708874,155.070171279762,151.88006758658,151.317991531385,148.662290882035,129.506883279221,129.447255330087,144.39359280303,147.165993844697,139.521446577381,140.115093141234,154.888367775974
USA,NEN,STE2OSL,119.6401,120.5469,134.6145,130.7029,129.5899,118.7441,111.5669,106.8768,103.4542,98.4029,91.2792,88.3581
RWO,NEN,STE2RFO,518.001934928394,582.704216241448,606.319132989555,578.988324069991,565.891351528257,505.717275158383,482.851119907826,510.05641985003,532.64512852114,530.117906167811,500.908704328803,535.62465370354
CHA,NEN,STE2RFO,609.4429,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453,667.8453
EGY,NEN,STE2RFO,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
IND,NEN,STE2RFO,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108,622.6108
MAR,NEN,STE2RFO,189.5019,266.385033333333,293.1583,252.223133333333,251.3925,249.895466666667,248.923,247.860366666667,247.025433333333,246.3379,246.2276,247.5902
USA,NEN,STE2RFO,546.2063,735.2431,781.2868,735.7257,674.3615,367.9346,271.3624,361.8595,457.4109,427.2688,333.3318,471.7953
RWO,BM,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,BM,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,BM,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,BM,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,BM,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,BM,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,BU,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,BU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,BU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,BU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,BU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,BU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,CH,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,CH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,CH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,CH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,CH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,CH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,EN,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,EN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,EN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,EN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,EN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,EN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,FD,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,FD,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,FD,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,FD,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,FD,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,FD,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,GN,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,GN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,GN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,GN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,GN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,GN,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,GT,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,GT,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,GT,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,GT,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,GT,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,GT,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,GU,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,GU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,GU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,GU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,GU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,GU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,HOU,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,HOU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,HOU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,HOU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,HOU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,HOU,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,IS,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,IS,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,IS,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,IS,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,IS,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,IS,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,NF,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,NF,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,NF,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,NF,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,NF,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,NF,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,OE,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,OE,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,OE,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,OE,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,OE,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,OE,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,OI,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,OI,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,OI,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,OI,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,OI,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,OI,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,PA,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,PA,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,PA,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,PA,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,PA,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,PA,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,PC,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,PC,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,PC,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,PC,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
MAR,PC,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
USA,PC,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
RWO,PCH,STE1AB,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001,300.000000000001
CHA,PCH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
EGY,PCH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
IND,PCH,STE1AB,300,300,300,300,300,300,300,300,300,300,300,300
